dataset,nace,indic,size_emp,geo,year,value,unit
isoc_eb_ain2,F,E_AI_TNLG,GE10,PT,2024,1.25,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,PT,2025,0.29,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,RO,2021,0.02,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,RO,2023,0.02,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,RO,2024,0.04,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,RO,2025,1.3,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,SE,2021,0.19,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,SE,2023,0.05,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,SE,2024,5.21,PC_ENT
isoc_eb_ain2,F,E_AI_TNLG,GE10,SE,2025,4.79,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,AT,2021,3.12,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,AT,2023,4.28,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,AT,2024,7.35,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,AT,2025,14.89,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,BE,2021,8.3,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,BE,2023,5.17,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,BE,2024,11.08,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,BE,2025,20.25,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,CZ,2021,0.35,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,CZ,2023,1.34,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,CZ,2024,2.35,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,CZ,2025,7.84,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DE,2021,8.29,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DE,2023,4.48,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DE,2024,10.01,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DE,2025,14.28,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DK,2021,8.87,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DK,2023,3.23,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DK,2024,11.7,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,DK,2025,23.93,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EL,2021,2.82,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EL,2023,3.4,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EL,2024,5.17,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EL,2025,6.96,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,ES,2021,3.77,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,ES,2023,4.63,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,ES,2024,4.43,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,ES,2025,11.26,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EU27_2020,2021,4.62,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EU27_2020,2023,3.2,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EU27_2020,2024,6.09,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,EU27_2020,2025,10.79,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FI,2021,9.39,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FI,2023,5.18,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FI,2024,11.26,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FI,2025,24.01,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FR,2021,4.09,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FR,2023,2.09,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FR,2024,3.14,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,FR,2025,9.52,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,HU,2021,0.55,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,HU,2023,1.8,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,HU,2024,4.27,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,HU,2025,4.53,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IE,2021,0.27,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IE,2023,5.92,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IE,2024,6.24,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IE,2025,9.2,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IT,2021,5.24,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IT,2023,2.62,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IT,2024,5.24,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,IT,2025,10.39,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,NL,2021,7.39,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,NL,2023,4.72,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,NL,2024,8.88,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,NL,2025,21.29,PC_ENT
isoc_eb_ain2,F,E_AI_TANY,GE10,PL,2021,0.35,PC_ENT
