REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,corridor,service_name,source_url
GBR,CHN,M,SI,2019,724.687656,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2020,802.304851,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2021,907.009498,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2022,990.520951,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2023,1034.373954,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SI,2024,1054.466078,B,USD_EXC,I,UK imports from China,Computer and information services (SI),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SI.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2015,419.422845,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2016,649.288119,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2017,515.200642,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2018,715.290591,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2019,775.547642,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2020,817.93585,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
GBR,CHN,M,SJ3,2021,1082.037553,B,USD_EXC,I,UK imports from China,Technical and other business services (SJ3),"https://sdmx.oecd.org/public/rest/v1/data/OECD.SDD.TPS,DSD_BATIS@DF_BATIS,1.0/GBR.CHN.M.S.SJ3.A.USD_EXC.B?startPeriod=2015&endPeriod=2024"
