importer,partner,year,value,iso3,ai_M_2024,ai_F_2024,ai_M_2021,ai_F_2021,dM,dF,gap24,ai_M,ai_F,logv,ihs,post,post20,post_x_dM,post_x_dF,post_x_M24,post_x_F24,post_x_gap,fake_x_dM
ITA,VNM,2019,10.755153,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,2.375384988559928,3.070686455060218,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,IND,2018,182.204544,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,5.205129924141654,5.898284635078193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,PHL,2018,90.277424,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,4.502887418090764,5.1960652720360185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,VNM,2018,9.83665,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,2.2861152059444017,2.9818361509275992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ITA,IND,2020,178.146766,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,5.182607738645423,5.875762796534499,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,PHL,2020,42.790968,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,3.7563270522808185,4.449610737307141,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
ITA,VNM,2020,9.646812,ITA,19.56,5.24,8.68,5.24,10.879999999999999,0.0,14.319999999999999,,,2.2666274980748176,2.9624503281202457,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.879999999999999
POL,IND,2020,28.789541,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,3.3600121614612166,4.05346083286104,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,PHL,2020,13.856182,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,2.628731486837741,3.3231782569550075,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
POL,VNM,2020,2.570016,POL,14.45,2.01,6.48,0.35,7.969999999999999,1.6599999999999997,12.44,,,0.9439121245686828,1.6729251111164434,0.0,1.0,0.0,0.0,0.0,0.0,0.0,7.969999999999999
