REF_AREA,COUNTERPART_AREA,TRADE_FLOW,SERVICE,TIME_PERIOD,OBS_VALUE,ADJUSTMENT,UNIT_MEASURE,OBS_STATUS,source_key
IND,W,M,SE,2024,2474.133671,B,USD_EXC,I,IND.W.M.S.SE.A.USD_EXC.B
IND,W,M,SI,2015,7341.70613,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2016,8352.276635,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2017,9783.508309,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2018,11517.129335,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2019,11270.207615,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2020,12886.983739,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2021,15143.850273,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2022,17338.104475,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2023,20596.281986,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SI,2024,21655.228185,B,USD_EXC,I,IND.W.M.S.SI.A.USD_EXC.B
IND,W,M,SJ1,2015,581.450351,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2016,462.337021,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2017,569.921081,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2018,564.342673,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2019,782.194646,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2020,730.261024,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2021,1816.619537,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2022,816.955977,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2023,743.67846,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ1,2024,1157.853452,B,USD_EXC,I,IND.W.M.S.SJ1.A.USD_EXC.B
IND,W,M,SJ2,2015,4590.779449,B,USD_EXC,I,IND.W.M.S.SJ2.A.USD_EXC.B
