dataset,bop_item,stk_flow,partner,geo,year,currency,value
bop_its6_det,SJ312,CRE,US,DK,2015,MIO_EUR,110.3
bop_its6_det,SJ312,CRE,US,DK,2016,MIO_EUR,98.5
bop_its6_det,SJ312,CRE,US,DK,2017,MIO_EUR,80.4
bop_its6_det,SJ312,CRE,US,DK,2018,MIO_EUR,97.5
bop_its6_det,SJ312,CRE,US,DK,2019,MIO_EUR,77.6
bop_its6_det,SJ312,CRE,US,DK,2020,MIO_EUR,75.1
bop_its6_det,SJ312,CRE,US,DK,2021,MIO_EUR,92.6
bop_its6_det,SJ312,CRE,US,DK,2022,MIO_EUR,128.8
bop_its6_det,SJ312,CRE,US,DK,2023,MIO_EUR,246.1
bop_its6_det,SJ312,CRE,US,DK,2024,MIO_EUR,199.2
bop_its6_det,SJ312,CRE,US,EL,2015,MIO_EUR,1.4
bop_its6_det,SJ312,CRE,US,EL,2016,MIO_EUR,1.6
bop_its6_det,SJ312,CRE,US,EL,2017,MIO_EUR,1.7
bop_its6_det,SJ312,CRE,US,EL,2018,MIO_EUR,1.7
bop_its6_det,SJ312,CRE,US,EL,2019,MIO_EUR,1.6
bop_its6_det,SJ312,CRE,US,EL,2020,MIO_EUR,1.7
bop_its6_det,SJ312,CRE,US,EL,2021,MIO_EUR,2.7
bop_its6_det,SJ312,CRE,US,EL,2022,MIO_EUR,4.5
bop_its6_det,SJ312,CRE,US,EL,2023,MIO_EUR,4.3
bop_its6_det,SJ312,CRE,US,EL,2024,MIO_EUR,5.9
bop_its6_det,SJ312,CRE,US,ES,2017,MIO_EUR,96.0
bop_its6_det,SJ312,CRE,US,ES,2018,MIO_EUR,99.0
bop_its6_det,SJ312,CRE,US,ES,2019,MIO_EUR,116.0
bop_its6_det,SJ312,CRE,US,ES,2020,MIO_EUR,97.0
bop_its6_det,SJ312,CRE,US,ES,2021,MIO_EUR,107.0
bop_its6_det,SJ312,CRE,US,ES,2022,MIO_EUR,100.0
bop_its6_det,SJ312,CRE,US,ES,2023,MIO_EUR,117.0
bop_its6_det,SJ312,CRE,US,ES,2024,MIO_EUR,226.0
bop_its6_det,SJ312,CRE,US,EU27_2020,2015,MIO_EUR,1971.2
bop_its6_det,SJ312,CRE,US,EU27_2020,2016,MIO_EUR,2180.2
bop_its6_det,SJ312,CRE,US,EU27_2020,2017,MIO_EUR,2129.5
bop_its6_det,SJ312,CRE,US,EU27_2020,2018,MIO_EUR,2076.8
bop_its6_det,SJ312,CRE,US,EU27_2020,2019,MIO_EUR,2068.7
bop_its6_det,SJ312,CRE,US,EU27_2020,2020,MIO_EUR,1942.9
bop_its6_det,SJ312,CRE,US,EU27_2020,2021,MIO_EUR,2389.9
bop_its6_det,SJ312,CRE,US,EU27_2020,2022,MIO_EUR,2760.6
bop_its6_det,SJ312,CRE,US,EU27_2020,2023,MIO_EUR,3734.1
bop_its6_det,SJ312,CRE,US,EU27_2020,2024,MIO_EUR,4289.7
bop_its6_det,SJ312,CRE,US,FI,2015,MIO_EUR,31.0
bop_its6_det,SJ312,CRE,US,FI,2016,MIO_EUR,62.0
bop_its6_det,SJ312,CRE,US,FI,2017,MIO_EUR,91.0
bop_its6_det,SJ312,CRE,US,FI,2018,MIO_EUR,82.0
bop_its6_det,SJ312,CRE,US,FI,2019,MIO_EUR,105.0
bop_its6_det,SJ312,CRE,US,FI,2020,MIO_EUR,82.0
bop_its6_det,SJ312,CRE,US,FI,2021,MIO_EUR,81.0
bop_its6_det,SJ312,CRE,US,FI,2022,MIO_EUR,84.0
bop_its6_det,SJ312,CRE,US,FI,2023,MIO_EUR,100.0
bop_its6_det,SJ312,CRE,US,FI,2024,MIO_EUR,183.0
bop_its6_det,SJ312,CRE,US,FR,2015,MIO_EUR,323.0
bop_its6_det,SJ312,CRE,US,FR,2016,MIO_EUR,303.0
bop_its6_det,SJ312,CRE,US,FR,2017,MIO_EUR,291.0
bop_its6_det,SJ312,CRE,US,FR,2018,MIO_EUR,408.0
bop_its6_det,SJ312,CRE,US,FR,2019,MIO_EUR,261.0
bop_its6_det,SJ312,CRE,US,FR,2020,MIO_EUR,249.0
bop_its6_det,SJ312,CRE,US,FR,2021,MIO_EUR,385.0
bop_its6_det,SJ312,CRE,US,FR,2022,MIO_EUR,303.0
bop_its6_det,SJ312,CRE,US,FR,2023,MIO_EUR,507.0
bop_its6_det,SJ312,CRE,US,FR,2024,MIO_EUR,559.0
